PeakID (cmd=annotatePeaks.pl results/filtered_reproducible_peaks.bed mm10 -gtf results/m39_gene_annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr6-6	chr6	116383234	116383402	+	1	NA	TTS (ENSMUST00000123246.8)	protein_coding-TTS (ENSMUST00000123246.8)	1180	ENSMUST00000204918.2	ENSMUSG00000025702	ENSMUST00000123405			Marchf8			protein_coding
chr16-351	chr16	10184586	10184754	+	1	NA	intron (ENSMUST00000115831.2, intron 5 of 5)	protein_coding-intron (ENSMUST00000043415.13, intron 5 of 6)	-19215	ENSMUST00000229862.2	ENSMUSG00000116270	ENSMUST00000230588			Gm1600			lncRNA
chr1-1458	chr1	154916794	154916946	+	1	NA	TTS (ENSMUST00000243429.1)	lncRNA-TTS (ENSMUST00000243429.1)	9385	ENSMUST00000191584.2	ENSMUSG00000101433	ENSMUST00000191584			Gm29441			processed_pseudogene
chr9-164	chr9	96938586	96938754	+	1	NA	intron (ENSMUST00000186238.2, intron 1 of 2)	lncRNA-intron (ENSMUST00000186238.2, intron 1 of 2)	10690	ENSMUST00000186238.2	ENSMUSG00000101365	ENSMUST00000186238			Gm19325			lncRNA
chr12-586	chr12	79806197	79806198	+	1	NA	intron (ENSMUST00000218039.3, intron 8 of 10)	protein_coding-intron (ENSMUST00000171210.3, intron 8 of 10)	-131865	ENSMUST00000243367.1	ENSMUSG00000120447	ENSMUST00000243367			Gm46362			lncRNA
chr6-950	chr6	86925496	86925651	+	1	NA	intron (ENSMUST00000113668.8, intron 7 of 8)	protein_coding-intron (ENSMUST00000003710.10, intron 7 of 19)	-10522	ENSMUST00000204613.2	ENSMUSG00000057230	ENSMUST00000156885			Aak1			protein_coding
chr14-419	chr14	78594238	78594406	+	1	NA	Intergenic	Intergenic	-45542	ENSMUST00020181847.1	ENSMUSG00002076701	ENSMUST00020181847			Gm54994			rRNA
chr11-359	chr11	76748007	76748175	+	1	NA	Intergenic	Intergenic	-10247	ENSMUST00000021201.6	ENSMUSG00000020841	ENSMUST00000021201			Cpd			protein_coding
chr9-686	chr9	66024209	66024353	+	1	NA	intron (ENSMUST00000137542.2, intron 1 of 6)	protein_coding-intron (ENSMUST00000034946.15, intron 1 of 14)	7798	ENSMUST00000145449.2	ENSMUSG00000032382	ENSMUST00000143148			Snx1			protein_coding
chr2-389	chr2	129386588	129386756	+	1	NA	Intergenic	Intergenic	-8150	ENSMUST00000050309.6	ENSMUSG00000043727	ENSMUST00000050309			F830045P16Rik			protein_coding
chr9-335	chr9	117544219	117544387	+	1	NA	intron (ENSMUST00000210659.2, intron 1 of 3)	protein_coding-intron (ENSMUST00000210659.2, intron 1 of 3)	-85322	ENSMUST00000164018.9	ENSMUSG00000039607	ENSMUST00000174276			Rbms3			protein_coding
chr19-388	chr19	47266130	47266249	+	1	NA	intron (ENSMUST00000237796.2, intron 4 of 7)	protein_coding-intron (ENSMUST00000081619.10, intron 11 of 14)	-4161	ENSMUST00000183658.3	ENSMUSG00000098786	ENSMUST00000183658			Mir6995			miRNA
chr11-625	chr11	4586874	4587042	+	1	NA	promoter-TSS (ENSMUST00000070257.14)	protein_coding-promoter-TSS (ENSMUST00000070257.14)	-789	ENSMUST00000070257.14	ENSMUSG00000020412	ENSMUST00000109930			Ascc2			protein_coding
chrX-149	chrX	136078183	136078351	+	1	NA	Intergenic	Intergenic	26703	ENSMUST00020182143.1	ENSMUSG00002075811	ENSMUST00020182143			Gm54830			snoRNA
chr6-307	chr6	120933305	120933473	+	1	NA	intron (ENSMUST00000151602.4, intron 2 of 7)	protein_coding-intron (ENSMUST00000098457.9, intron 11 of 15)	1295	ENSMUST00000142924.2	ENSMUSG00000051586	ENSMUST00000212333			Mical3			protein_coding
chr14-94	chr14	20856725	20856893	+	1	NA	Intergenic	Intergenic	12557	ENSMUST00000240947.1	ENSMUSG00000114241	ENSMUST00000240956			Gm30108			lncRNA
chr1-965	chr1	138895251	138895399	+	1	NA	promoter-TSS (ENSMUST00000094505.6)	protein_coding-promoter-TSS (ENSMUST00000094505.6)	-133	ENSMUST00000094505.6	ENSMUSG00000056268	ENSMUST00000198418			Dennd1b			protein_coding
chr6-108	chr6	21888912	21889080	+	1	NA	Intergenic	Intergenic	-30819	ENSMUST00000200819.2	ENSMUSG00000106871	ENSMUST00000200819			Gm3289			lncRNA
chr10-339	chr10	89662916	89663084	+	1	NA	Intergenic	Intergenic	-5692	ENSMUST00001239519.1	ENSMUSG00000119673	ENSMUST00001239519			Gm26180			snRNA
chr6-503	chr6	114331808	114331976	+	1	NA	Intergenic	Intergenic	41642	ENSMUST00000204540.2	ENSMUSG00000030310	ENSMUST00000203100			Slc6a1			protein_coding
chr17-463	chr17	15512946	15513083	+	1	NA	Intergenic	Intergenic	-7394	ENSMUST00000232255.2	ENSMUSG00000116851	ENSMUST00000232255			Gm35576			lncRNA
chr10-960	chr10	75502940	75503108	+	1	NA	intron (ENSMUST00000001712.8, intron 29 of 36)	protein_coding-intron (ENSMUST00000001712.8, intron 29 of 36)	642	ENSMUST00000218814.2	ENSMUSG00000020196	ENSMUST00000218790			Cabin1			protein_coding
chr9-621	chr9	79885159	79885301	+	1	NA	promoter-TSS (ENSMUST00000093811.11)	protein_coding-promoter-TSS (ENSMUST00000093811.11)	-144	ENSMUST00000093811.11	ENSMUSG00000034898	ENSMUST00000093811			Filip1			protein_coding
chr15-703	chr15	10889136	10889304	+	1	NA	Intergenic	Intergenic	-28303	ENSMUST00000228657.2	ENSMUSG00000115042	ENSMUST00000228657			Gm29742			processed_pseudogene
chr14-299	chr14	106737901	106738065	+	1	NA	Intergenic	Intergenic	-14029	ENSMUST00000186311.2	ENSMUSG00000099794	ENSMUST00000186643			1700128A07Rik			lncRNA
chr5-330	chr5	102039700	102039868	+	1	NA	intron (ENSMUST00000212024.2, intron 33 of 64)	protein_coding-intron (ENSMUST00000053177.14, intron 36 of 66)	38935	ENSMUST00000172927.2	ENSMUSG00000043940	ENSMUST00000172512			Wdfy3			protein_coding
chr15-692	chr15	101158044	101158212	+	1	NA	promoter-TSS (ENSMUST00000246866.1)	lncRNA-promoter-TSS (ENSMUST00000246866.1)	-432	ENSMUST00000246866.1	ENSMUSG00000121015	ENSMUST00000246866			Gm56721			lncRNA
chr3-611	chr3	125197707	125197875	+	1	NA	promoter-TSS (ENSMUST00000147016.5)	protein_coding-promoter-TSS (ENSMUST00000147016.5)	52	ENSMUST00000147016.5	ENSMUSG00000027971	ENSMUST00000174648			Ndst4			protein_coding
chrX-186	chrX	37567584	37567752	+	1	NA	intron (ENSMUST00000130251.2, intron 1 of 1)	lncRNA-intron (ENSMUST00000130251.2, intron 1 of 1)	2330	ENSMUST00000130251.2	ENSMUSG00000087390	ENSMUST00000130251			Gm7598			lncRNA
chr13-315	chr13	104658231	104658398	+	1	NA	Intergenic	Intergenic	101535	ENSMUST00000244206.1	ENSMUSG00000120566	ENSMUST00000244206			Gm56573			lncRNA
chr7-770	chr7	6147288	6147456	+	1	NA	intron (ENSMUST00000207957.2, intron 1 of 1)	protein_coding-intron (ENSMUST00000094870.3, intron 1 of 2)	-1528	ENSMUST00000208894.2	ENSMUSG00000046792	ENSMUST00000207957			Zfp787			protein_coding
chrX-121	chrX	36012422	36012590	+	1	NA	intron (ENSMUST00000133699.2, intron 1 of 2)	protein_coding-intron (ENSMUST00000047655.7, intron 1 of 4)	5142	ENSMUST00000133699.2	ENSMUSG00000037636	ENSMUST00000047655			Slc25a43			protein_coding
chr2-346	chr2	181192112	181192280	+	1	NA	TTS (ENSMUST00000108796.2)	protein_coding-TTS (ENSMUST00000108796.2)	1077	ENSMUST00000141523.2	ENSMUSG00000000826	ENSMUST00000072334			Dnajc5			protein_coding
chr8-949	chr8	109443073	109443223	+	1	NA	intron (ENSMUST00000043896.10, intron 1 of 9)	protein_coding-intron (ENSMUST00000043896.10, intron 1 of 9)	1872	ENSMUST00000043896.10	ENSMUSG00000038872	ENSMUST00000043896			Zfhx3			protein_coding
chr7-20	chr7	6342920	6343088	+	1	NA	Intergenic	Intergenic	-3754	ENSMUST00000207173.3	ENSMUSG00000109398	ENSMUST00000208865			Gm3854			protein_coding
chr5-656	chr5	139068387	139068555	+	1	NA	intron (ENSMUST00000148002.8, intron 3 of 6)	protein_coding-intron (ENSMUST00000026973.14, intron 4 of 10)	29928	ENSMUST00000141985.2	ENSMUSG00000025855	ENSMUST00000147505			Prkar1b			protein_coding
chr1-843	chr1	97587352	97587520	+	1	NA	intron (ENSMUST00000053033.14, intron 1 of 2)	protein_coding-intron (ENSMUST00000053033.14, intron 1 of 2)	-1120	ENSMUST00000238965.2	ENSMUSG00000118489	ENSMUST00000238965			Gm53038			processed_pseudogene
chr12-98	chr12	100068035	100068203	+	1	NA	Intergenic	Intergenic	-4642	ENSMUST00000223195.2	ENSMUSG00000113268	ENSMUST00000220814			4930477G07Rik			lncRNA
chr3-208	chr3	85496178	85496346	+	1	NA	intron (ENSMUST00000127348.8, intron 2 of 12)	protein_coding-intron (ENSMUST00000029726.6, intron 2 of 12)	14760	ENSMUST00000029726.6	ENSMUSG00000028085	ENSMUST00000107672			Gatb			protein_coding
chr5-29	chr5	83553186	83553354	+	1	NA	Intergenic	Intergenic	-50228	ENSMUST00000053543.11	ENSMUSG00000049537	ENSMUST00000146669			Tecrl			protein_coding
chr9-649	chr9	121110369	121110496	+	1	NA	intron (ENSMUST00000213695.2, intron 2 of 2)	lncRNA-intron (ENSMUST00000213695.2, intron 2 of 2)	3590	ENSMUST00000215259.2	ENSMUSG00000110863	ENSMUST00000213695			Gm34655			lncRNA
chr5-552	chr5	21697274	21697442	+	1	NA	intron (ENSMUST00000137788.8, intron 18 of 18)	protein_coding-intron (ENSMUST00000051358.11, intron 17 of 19)	-51199	ENSMUST00000199277.2	ENSMUSG00000039883	ENSMUST00000199277			Lrrc17			protein_coding
chrX-140	chrX	58608865	58609033	+	1	NA	intron (ENSMUST00000145767.2, intron 2 of 2)	protein_coding-intron (ENSMUST00000119833.8, intron 2 of 5)	3883	ENSMUST00000124402.2	ENSMUSG00000031137	ENSMUST00000131319			Fgf13			protein_coding
chr14-531	chr14	70046319	70046487	+	1	NA	Intergenic	Intergenic	-3318	ENSMUST00000022665.4	ENSMUSG00000022075	ENSMUST00000224535			Rhobtb2			protein_coding
chr7-939	chr7	66127460	66127628	+	1	NA	Intergenic	Intergenic	35910	ENSMUST00000208297.2	ENSMUSG00000109114	ENSMUST00000208297			Gm44753			lncRNA
chr1-1156	chr1	44051340	44051508	+	1	NA	exon (ENSMUST00000159881.2, exon 3 of 3)	protein_coding-exon (ENSMUST00000159881.2, exon 3 of 3)	5204	ENSMUST00000162750.2	ENSMUSG00000047343	ENSMUST00000061421			Mettl21c			protein_coding
chr2-355	chr2	30155971	30156139	+	1	NA	promoter-TSS (ENSMUST00000085290.4)	protein_coding-promoter-TSS (ENSMUST00000085290.4)	-160	ENSMUST00000154647.8	ENSMUSG00000079484	ENSMUST00000154647			Phyhd1			protein_coding
chr17-124	chr17	26162842	26163010	+	1	NA	TTS (ENSMUST00000159540.8)	protein_coding-TTS (ENSMUST00000159540.8)	558	ENSMUST00000148307.2	ENSMUSG00000025728	ENSMUST00000207073			Pigq			protein_coding
chr6-548	chr6	84315957	84316125	+	1	NA	Intergenic	Intergenic	84779	ENSMUST00000203521.2	ENSMUSG00000107797	ENSMUST00000203521			Gm10445			lncRNA
chr5-854	chr5	140196330	140196498	+	1	NA	TTS (ENSMUST00000127990.8)	lncRNA-TTS (ENSMUST00000127990.8)	1117	ENSMUST00000133999.2	ENSMUSG00000087248	ENSMUST00000127990			Gm16120			lncRNA
chr19-227	chr19	6435037	6435205	+	1	NA	intron (ENSMUST00000113483.2, intron 1 of 17)	protein_coding-intron (ENSMUST00000035269.15, intron 1 of 19)	676	ENSMUST00000113483.2	ENSMUSG00000032648	ENSMUST00000113483			Pygm			protein_coding
chr10-544	chr10	112624265	112624433	+	1	NA	Intergenic	Intergenic	-49308	ENSMUST00000218495.2	ENSMUSG00000112722	ENSMUST00000218495			Gm3942			lncRNA
chr6-143	chr6	116335241	116335409	+	1	NA	intron (ENSMUST00000140884.8, intron 1 of 4)	protein_coding-intron (ENSMUST00000079012.13, intron 2 of 7)	7431	ENSMUST00000129170.8	ENSMUSG00000025702	ENSMUST00000123405			Marchf8			protein_coding
chr8-153	chr8	86231477	86231576	+	1	NA	intron (ENSMUST00000132932.8, intron 3 of 10)	protein_coding-intron (ENSMUST00000034136.12, intron 3 of 11)	-11080	ENSMUST00000140189.8	ENSMUSG00000031700	ENSMUST00000034136			Gpt2			protein_coding
chr5-1161	chr5	34012194	34012362	+	1	NA	intron (ENSMUST00000141416.5, intron 3 of 20)	protein_coding-intron (ENSMUST00000058096.14, intron 3 of 20)	-6135	ENSMUST00000142080.2	ENSMUSG00000057406	ENSMUST00000202525			Nsd2			protein_coding
chr2-1621	chr2	165539795	165539963	+	1	NA	intron (ENSMUST00000150669.2, intron 6 of 7)	protein_coding-intron (ENSMUST00000063433.8, intron 5 of 15)	-15610	ENSMUST00000150638.8	ENSMUSG00000017897	ENSMUST00000063433			Eya2			protein_coding
chr2-380	chr2	84476610	84476778	+	1	NA	intron (ENSMUST00000189772.2, intron 2 of 20)	protein_coding-intron (ENSMUST00000036811.13, intron 1 of 18)	2187	ENSMUST00000149317.2	ENSMUSG00000034101	ENSMUST00000111688			Ctnnd1			protein_coding
chr17-580	chr17	26566543	26566711	+	1	NA	Intergenic	Intergenic	-25031	ENSMUST00000234840.2	ENSMUSG00000117551	ENSMUST00000234840			Gm50015			lncRNA
chr3-714	chr3	151899267	151899435	+	1	NA	exon (ENSMUST00000050073.13, exon 1 of 3)	protein_coding-intron (ENSMUST00000144950.8, intron 1 of 3)	131	ENSMUST00000050073.13	ENSMUSG00000028035	ENSMUST00000144950			Dnajb4			protein_coding
chr1-406	chr1	177473802	177473970	+	1	NA	Intergenic	Intergenic	-3377	ENSMUST00000189507.2	ENSMUSG00000101746	ENSMUST00000245578			2310043L19Rik			lncRNA
chr8-145	chr8	127603029	127603197	+	1	NA	promoter-TSS (ENSMUST00000212406.2)	lncRNA-promoter-TSS (ENSMUST00000212406.2)	75	ENSMUST00000212406.2	ENSMUSG00000110697	ENSMUST00000212639			Gm31718			lncRNA
chr7-364	chr7	73229259	73229427	+	1	NA	Intergenic	Intergenic	20789	ENSMUST00000241543.1	ENSMUSG00000120135	ENSMUST00000241543			Gm57236			lncRNA
chr10-320	chr10	42863880	42864027	+	1	NA	Intergenic	Intergenic	-47036	ENSMUST00000213522.2	ENSMUSG00000111171	ENSMUST00000213469			Gm47815			lncRNA
chr7-73	chr7	69364955	69365123	+	1	NA	Intergenic	Intergenic	-108451	ENSMUST00000183205.2	ENSMUSG00000098246	ENSMUST00000183205			Gm7627			processed_pseudogene
chr6-180	chr6	72691190	72691358	+	1	NA	intron (ENSMUST00000149446.3, intron 2 of 5)	protein_coding-intron (ENSMUST00000069536.12, intron 3 of 11)	15077	ENSMUST00000114051.3	ENSMUSG00000079524	ENSMUST00000114051			Gm15402			lncRNA
chr2-1096	chr2	153175959	153176122	+	1	NA	TTS (ENSMUST00000028977.7)	protein_coding-TTS (ENSMUST00000028977.7)	9101	ENSMUST00000125345.2	ENSMUSG00000073236	ENSMUST00000128026			2500004C02Rik			lncRNA
chr3-738	chr3	52012828	52012996	+	1	NA	promoter-TSS (ENSMUST00000121440.4)	protein_coding-promoter-TSS (ENSMUST00000121440.4)	-415	ENSMUST00000121440.4	ENSMUSG00000061143	ENSMUST00000121440			Maml3			protein_coding
chrX-183	chrX	7951243	7951372	+	1	NA	TTS (ENSMUST00020183019.1)	snRNA-TTS (ENSMUST00020183019.1)	1076	ENSMUST00020183019.1	ENSMUSG00002076242	ENSMUST00020183019			Gm55142			snRNA
chr5-37	chr5	81396729	81396897	+	1	NA	promoter-TSS (ENSMUST00000201153.2)	TEC-promoter-TSS (ENSMUST00000201153.2)	-283	ENSMUST00000201153.2	ENSMUSG00000107226	ENSMUST00000201153			Gm43594			TEC
chr11-444	chr11	118892422	118892590	+	1	NA	Intergenic	Intergenic	13464	ENSMUST00000106273.3	ENSMUSG00000046697	ENSMUST00000106273			Enpp7			protein_coding
chr6-860	chr6	128363682	128363751	+	1	NA	intron (ENSMUST00000146349.2, intron 1 of 1)	lncRNA-intron (ENSMUST00000146349.2, intron 1 of 1)	9772	ENSMUST00000203779.2	ENSMUSG00000108176	ENSMUST00000203779			Gm43965			TEC
chr14-451	chr14	32335874	32336036	+	1	NA	intron (ENSMUST00000228878.2, intron 5 of 5)	protein_coding-intron (ENSMUST00000068938.7, intron 5 of 6)	14040	ENSMUST00000228878.2	ENSMUSG00000041730	ENSMUST00000228878			Drgx			protein_coding
chr11-311	chr11	115407919	115408086	+	1	NA	Intergenic	Intergenic	-2789	ENSMUST00000021083.7	ENSMUSG00000020737	ENSMUST00000139980			Jpt1			protein_coding
chr5-653	chr5	131250119	131250287	+	1	NA	intron (ENSMUST00000161228.2, intron 1 of 1)	protein_coding-intron (ENSMUST00000086023.13, intron 1 of 10)	85550	ENSMUST00000160807.2	ENSMUSG00000034040	ENSMUST00000086023			Galnt17			protein_coding
chr2-343	chr2	164283161	164283328	+	1	NA	intron (ENSMUST00000142909.2, intron 1 of 4)	protein_coding-intron (ENSMUST00000017153.4, intron 1 of 4)	1862	ENSMUST00000017153.4	ENSMUSG00000017009	ENSMUST00000017153			Sdc4			protein_coding
chr1-741	chr1	134210976	134211144	+	1	NA	Intergenic	Intergenic	-2331	ENSMUST00000101821.3	ENSMUSG00000119277	ENSMUST00000101821			Gm24517			snRNA
chr6-155	chr6	53836135	53836294	+	1	NA	intron (ENSMUST00000204648.2, intron 4 of 4)	lncRNA-intron (ENSMUST00000204648.2, intron 4 of 4)	12919	ENSMUST00000239985.1	ENSMUSG00000119179	ENSMUST00000239985			Gm22910			snoRNA
chr2-547	chr2	166723094	166723262	+	1	NA	exon (ENSMUST00000099078.10, exon 34 of 39)	protein_coding-exon (ENSMUST00000099078.10, exon 34 of 39)	-24782	ENSMUST00000171410.8	ENSMUSG00000002718	ENSMUST00000135139			Cse1l			protein_coding
chr11-983	chr11	117201946	117202114	+	1	NA	intron (ENSMUST00000153668.8, intron 1 of 2)	protein_coding-intron (ENSMUST00000019038.15, intron 2 of 10)	3050	ENSMUST00000153668.8	ENSMUSG00000059248	ENSMUST00000106349			Septin9			protein_coding
chr1-644	chr1	81772532	81772677	+	1	NA	Intergenic	Intergenic	-2352	ENSMUST00000186198.2	ENSMUSG00000100561	ENSMUST00000186198			Gm7516			processed_pseudogene
chr11-870	chr11	117018484	117018652	+	1	NA	intron (ENSMUST00000127090.8, intron 2 of 11)	protein_coding-intron (ENSMUST00000021177.15, intron 2 of 16)	-4748	ENSMUST00020182623.1	ENSMUSG00002076234	ENSMUST00020182623			Gm55444			misc_RNA
chr12-779	chr12	85531593	85531761	+	1	NA	TTS (ENSMUST00000246030.1)	lncRNA-TTS (ENSMUST00000246030.1)	1131	ENSMUST00000246030.1	ENSMUSG00000120835	ENSMUST00000246030			Gm56541			lncRNA
chr14-561	chr14	24779702	24779870	+	1	NA	intron (ENSMUST00000225654.2, intron 3 of 5)	lncRNA-intron (ENSMUST00000225654.2, intron 3 of 5)	-54273	ENSMUST00000223735.2	ENSMUSG00000114965	ENSMUST00000223735			Gm47906			lncRNA
chr19-446	chr19	3643586	3643741	+	1	NA	exon (ENSMUST00000177330.8, exon 19 of 23)	protein_coding-exon (ENSMUST00000177330.8, exon 19 of 23)	-17914	ENSMUST00000113997.9	ENSMUSG00000024908	ENSMUST00000025846			Ppp6r3			protein_coding
chr11-1224	chr11	86836049	86836209	+	1	NA	intron (ENSMUST00000238921.2, intron 2 of 3)	protein_coding-intron (ENSMUST00000018571.5, intron 3 of 4)	26721	ENSMUST00000238921.2	ENSMUSG00000018427	ENSMUST00000018571			Ypel2			protein_coding
chr9-462	chr9	69240552	69240720	+	1	NA	intron (ENSMUST00000113624.3, intron 1 of 9)	protein_coding-intron (ENSMUST00000034766.14, intron 2 of 10)	30893	ENSMUST00000152570.2	ENSMUSG00000086648	ENSMUST00000152570			Gm15511			lncRNA
chr16-319	chr16	77112368	77112536	+	1	NA	intron (ENSMUST00000246804.1, intron 3 of 8)	lncRNA-intron (ENSMUST00000182398.9, intron 3 of 6)	-10004	ENSMUST00000194532.2	ENSMUSG00000102289	ENSMUST00000194532			Gm31258			TEC
chr6-75	chr6	83382718	83382886	+	1	NA	intron (ENSMUST00000190295.2, intron 2 of 2)	protein_coding-intron (ENSMUST00000056191.2, intron 2 of 3)	-4718	ENSMUST00000184003.3	ENSMUSG00000099045	ENSMUST00000184003			Mir6374			miRNA
chr11-1283	chr11	119804183	119804349	+	1	NA	promoter-TSS (ENSMUST00000026434.13)	protein_coding-promoter-TSS (ENSMUST00000026434.13)	-1	ENSMUST00000132197.8	ENSMUSG00000025371	ENSMUST00000124199			Chmp6			protein_coding
chr6-146	chr6	124970945	124971113	+	1	NA	Intergenic	Intergenic	-2628	ENSMUST00000032479.11	ENSMUSG00000030329	ENSMUST00000160704			Pianp			protein_coding
chr10-477	chr10	82014350	82014518	+	1	NA	intron (ENSMUST00000244404.1, intron 1 of 5)	lncRNA-intron (ENSMUST00000156803.9, intron 1 of 5)	216	ENSMUST00000244128.1	ENSMUSG00000112110	ENSMUST00000244128			Gm15608			lncRNA
chr8-74	chr8	27753142	27753310	+	1	NA	intron (ENSMUST00000033880.7, intron 1 of 2)	protein_coding-intron (ENSMUST00000033880.7, intron 1 of 2)	-1216	ENSMUST00000210959.2	ENSMUSG00000031490	ENSMUST00000210959			Eif4ebp1			protein_coding
chr1-160	chr1	193082787	193082948	+	1	NA	Intergenic	Intergenic	-30261	ENSMUST00000016323.11	ENSMUSG00000016179	ENSMUST00000163202			Camk1g			protein_coding
chr8-156	chr8	105582185	105582353	+	1	NA	Intergenic	Intergenic	1887	ENSMUST00000162970.3	ENSMUSG00000061825	ENSMUST00000162970			Ces2c			protein_coding
chr19-431	chr19	47319238	47319406	+	1	NA	intron (ENSMUST00000111800.4, intron 6 of 13)	protein_coding-intron (ENSMUST00000081619.10, intron 6 of 14)	-16132	ENSMUST00000237796.2	ENSMUSG00000053617	ENSMUST00000237796			Sh3pxd2a			protein_coding
chr7-135	chr7	110408307	110408475	+	1	NA	intron (ENSMUST00000213373.2, intron 13 of 14)	protein_coding-intron (ENSMUST00000005829.13, intron 13 of 14)	6703	ENSMUST00020181859.1	ENSMUSG00002076727	ENSMUST00020181859			Gm55849			miRNA
chr2-998	chr2	166021658	166021826	+	1	NA	Intergenic	Intergenic	-9875	ENSMUST00020183714.1	ENSMUSG00002075091	ENSMUST00020183714			Gm56377			rRNA
